species_name,latitude_centroid_from_roll_et_al_2017,insular_endemic,activity_time,smallest_clutch,largest_clutch,maximum_svl,female_svl
Acanthodactylus_boskianus,23.35,no,Diurnal,1,8,95,60.1
Aeluroscalabotes_felinus,2.79,no,Nocturnal,1,2,122,109.9
Agama_agama,6.77,no,Diurnal,3,24,150,89.8
Agamura_persica,30.99,no,Nocturnal,2,2,77,59.5
Alsophylax_pipiens,45.71,no,Nocturnal,1,2,41.6,33.7
Anniella_pulchra,34.71,no,Cathemeral,1,4,180,143.8
Apathya_cappadocica,37.37,no,Diurnal,3,7,85.9,68
Aprasia_parapulchella,-33.98,no,Nocturnal,2,2,140,117.8
Bipes_biporus,26.13,no,Diurnal,1,4,240,176
Bipes_canaliculatus,18.35,no,Diurnal,1,4,240,202.5
Blaesodactylus_antongilensis,-15.7,yes,Nocturnal,2,2,97,NA
Blanus_cinereus,39.42,no,Cathemeral,1,3,254,159
Brookesia_ambreensis,-12.51,yes,Diurnal,2,2,55,53.5
Brookesia_antakarana,-12.51,yes,Diurnal,3,5,58,53.8
Brookesia_brygooi,-19.31,yes,Diurnal,2,5,52,49
Brookesia_decaryi,-16.31,yes,Diurnal,2,5,53,53
Brookesia_ebenaui,-13.38,yes,Diurnal,NA,NA,52,48.8
Brookesia_exarmata,-18.68,yes,Diurnal,2,2,26.5,24.5
Brookesia_griveaudi,-14.44,yes,Diurnal,3,4,64,59
Brookesia_minima,-13.93,yes,Diurnal,2,2,25,19
Brookesia_peyrierasi,-15.53,yes,Diurnal,NA,NA,27.4,23.4
Brookesia_stumpffi,-14.57,yes,Diurnal,2,5,57,48.5
Brookesia_superciliaris,-18.87,yes,Diurnal,2,5,54,46
Brookesia_tuberculata,-12.54,yes,Diurnal,NA,NA,21.7,18.7
Bunopus_tuberculatus,28.41,no,Cathemeral,1,2,62,39.3
Caledoniscincus_austrocaledonicus,-21.31,yes,Diurnal,1,5,57,46.3
Calumma_gastrotaenia,-18.69,yes,Diurnal,NA,NA,73,49
Calumma_nasutum,-17.97,yes,Diurnal,2,5,50,46.6
Chalarodon_madagascariensis,-22.31,yes,Diurnal,2,2,90,61.3
Chlamydosaurus_kingii,-17.92,no,Diurnal,4,24,290,209.8
Cnemaspis_limi,2.79,yes,Cathemeral,1,2,90,60.5
Coleonyx_variegatus,32.1,no,Nocturnal,1,2,77,60.8
Crossobamon_orientalis,27.19,no,Nocturnal,2,3,56.5,41.8
Crotaphytus_collaris,32.64,no,Diurnal,1,24,131,90.6
Cyrtodactylus_irregularis,12.46,no,Nocturnal,NA,NA,90,80.5
Cyrtopodion_scabrum,30.26,no,Nocturnal,1,2,65,45.1
Dibamus_novaeguineae,7.34,yes,NA,1,1,165,148
Dipsosaurus_dorsalis,31.79,no,Diurnal,2,8,154,114
Ebenavia_inunguis,-18.03,yes,Cathemeral,1,2,42,37.5
Eremias_arguta,47.46,no,Diurnal,1,12,100,72
Eublepharis_macularius,28.67,no,Nocturnal,1,3,170,118.9
Eutropis_multifasciata,14.85,no,Diurnal,1,10,140,104.4
Furcifer_lateralis,-20.44,yes,Diurnal,4,23,139,69.5
Furcifer_polleni,-12.8,yes,NA,6,12,104,61.5
Furcifer_willsii,-16.93,yes,NA,8,15,82,62.5
Geckolepis_maculata,-17.05,yes,Nocturnal,1,2,79.2,NA
Gehyra_mutilata,11.04,no,Nocturnal,1,3,64,51.1
Gekko_chinensis,23.7,no,Nocturnal,2,2,80,62.8
Gekko_gecko,13.94,no,Nocturnal,1,3,220,129.7
