species_name,latitude_centroid_from_roll_et_al_2017,insular_endemic,maximum_svl,female_svl,activity_time,smallest_clutch,largest_clutch
Ablepharus_bivittatus,34.16,no,61,56.5,Diurnal,2,5
Ablepharus_budaki,36.44,no,48,36.8,Diurnal,2,5
Ablepharus_chernovi,38.32,no,54,44.4,Diurnal,3,4
Ablepharus_darvazi,38.96,no,44,NA,Diurnal,NA,NA
Ablepharus_deserti,41.38,no,58.8,46,Diurnal,1,8
Ablepharus_grayanus,27.09,no,34.9,NA,Diurnal,1,2
Ablepharus_kitaibelii,41.11,no,58,43.4,Diurnal,2,6
Ablepharus_lindbergi,34.28,no,50,NA,Diurnal,4,5
Ablepharus_pannonicus,33.16,no,55,NA,Diurnal,2,6
Ablepharus_rueppellii,31.39,no,52,35.3,Diurnal,1,6
Abronia_anzuetoi,14.44,no,135,100,Diurnal,NA,NA
Abronia_aurita,14.79,no,125,111,Diurnal,12,12
Abronia_bogerti,16.78,no,94,87,Diurnal,NA,NA
Abronia_campbelli,14.71,no,127,114,Diurnal,4,12
Abronia_chiszari,18.38,no,105,96,Diurnal,NA,NA
Abronia_cuetzpali,16.16,no,115,114,Diurnal,NA,NA
Abronia_deppii,19.01,no,121,63,Diurnal,6,6
Abronia_fimbriata,15.21,no,130,101.5,Diurnal,4,4
Abronia_frosti,15.93,no,110,94.8,Diurnal,NA,NA
Abronia_fuscolabialis,17.3,no,118,NA,NA,NA,NA
Abronia_gaiophantasma,15.21,no,110,71,Diurnal,NA,NA
Abronia_graminea,18.76,no,110.7,104.8,Diurnal,1,12
Abronia_leurolepis,16.45,no,105,105,NA,NA,NA
Abronia_lythrochila,16.03,no,120,NA,Diurnal,1,18
Abronia_martindelcampoi,17.57,no,115,NA,NA,2,6
Abronia_matudai,15.11,no,110,88,Diurnal,NA,NA
Abronia_meledona,14.54,no,120,107.5,Diurnal,12,16
Abronia_mitchelli,17.56,no,105,105,NA,NA,NA
Abronia_mixteca,17.21,no,148,NA,Diurnal,7,7
Abronia_montecristoi,14.85,no,93,NA,NA,NA,NA
Abronia_oaxacae,16.8,no,117,NA,Diurnal,1,1
Abronia_ochoterenai,16.35,no,113.5,108.8,Diurnal,13,13
Abronia_ornelasi,16.68,no,97,71,Diurnal,NA,NA
Abronia_ramirezi,16.33,no,93,93,Diurnal,NA,NA
Abronia_reidi,18.56,no,100,NA,Diurnal,NA,NA
Abronia_salvadorensis,14.17,no,94,NA,Diurnal,NA,NA
Abronia_smithi,15.59,no,110,99,Diurnal,3,4
Abronia_taeniata,21.72,no,138,94.5,NA,3,10
Abronia_vasconcelosii,14.88,no,120,110.2,Diurnal,NA,NA
Acanthocercus_adramitanus,16.2,no,157,NA,Diurnal,4,12
Acanthocercus_annectans,9.11,no,152,132,Diurnal,NA,NA
Acanthocercus_atricollis,-9.53,no,171,113.9,Diurnal,1,17
Acanthocercus_branchi,-15.33,no,155,106,Diurnal,NA,NA
Acanthocercus_cyanogaster,-0.37,no,167,90.5,Diurnal,3,13
Acanthocercus_guentherpetersi,15.2,no,102,76.5,NA,NA,NA
Acanthocercus_phillipsii,10.32,no,112,64.3,NA,NA,NA
Acanthocercus_yemensis,15.76,no,136,95,Diurnal,NA,NA
Acanthodactylus_aegyptius,28.83,no,52,41,Diurnal,2,3
Acanthodactylus_ahmaddisii,31.5,no,78.5,NA,Diurnal,NA,NA
Acanthodactylus_arabicus,14.49,no,77,49.5,Diurnal,NA,NA
Acanthodactylus_aureus,23.68,no,70.4,50,Diurnal,NA,NA
Acanthodactylus_bedriagai,34.86,no,77,NA,Diurnal,3,7
Acanthodactylus_beershebensis,31.17,no,90,64.9,Diurnal,3,8
Acanthodactylus_blanci,35.45,no,95,79.5,Diurnal,5,5
Acanthodactylus_blanfordii,28.67,no,75,52.7,Diurnal,2,6
Acanthodactylus_boskianus,23.35,no,95,60.1,Diurnal,1,8
Acanthodactylus_boueti,8.29,no,63,56.6,NA,NA,NA
Acanthodactylus_busacki,27.55,no,73.6,NA,Diurnal,NA,NA
Acanthodactylus_cantoris,28.15,no,94,48,Diurnal,1,10
Acanthodactylus_dumerilii,26.76,no,68,49.3,Diurnal,1,2
Acanthodactylus_erythrurus,37.24,no,84,68.6,Diurnal,1,8
Acanthodactylus_felicis,14.99,no,65,NA,Diurnal,NA,NA
Acanthodactylus_gongrorhynchatus,24.4,no,65,46.3,Diurnal,NA,NA
Acanthodactylus_grandis,32.14,no,103,85.8,Diurnal,NA,NA
Acanthodactylus_guineensis,10.22,no,60,48,Diurnal,NA,NA
Acanthodactylus_haasi,26.15,no,65,NA,Diurnal,NA,NA
Acanthodactylus_hardyi,29.37,no,52,47.5,Diurnal,2,3
Acanthodactylus_harranensis,36.56,no,94.8,NA,Diurnal,NA,NA
Acanthodactylus_khamirensis,26.95,no,48.4,46.9,Diurnal,NA,NA
Acanthodactylus_longipes,23.63,no,65,46.7,Diurnal,2,3
Acanthodactylus_maculatus,32.67,no,62,57,Diurnal,2,4
Acanthodactylus_margaritae,30.28,no,71,60.2,Diurnal,NA,NA
Acanthodactylus_masirae,18.43,no,52,NA,Diurnal,NA,NA
Acanthodactylus_micropholis,27.99,no,65,61.5,Diurnal,2,4
Acanthodactylus_nilsoni,33.47,no,74.5,NA,Diurnal,NA,NA
Acanthodactylus_opheodurus,23.87,no,62.2,58,Diurnal,4,4
Acanthodactylus_orientalis,34.5,no,75,NA,Diurnal,NA,NA
Acanthodactylus_pardalis,31.05,no,77,61,Diurnal,2,7
Acanthodactylus_robustus,33.4,no,77.2,NA,Diurnal,NA,NA
Acanthodactylus_savignyi,36,no,75,52,Diurnal,4,6
Acanthodactylus_schmidti,24.26,no,105,NA,Diurnal,1,4
Acanthodactylus_schreiberi,35.05,yes,93,69.4,Diurnal,1,8
Acanthodactylus_scutellatus,23.81,no,85,52.6,Diurnal,1,6
Acanthodactylus_senegalensis,17.92,no,60,NA,Diurnal,NA,NA
Acanthodactylus_spinicauda,32.8,no,56,52,Diurnal,4,4
Acanthodactylus_taghitensis,24.3,no,55,NA,Diurnal,NA,NA
Acanthodactylus_tilburyi,26.89,no,65,56.3,Diurnal,NA,NA
Acanthodactylus_tristrami,32.97,no,95,75.5,Diurnal,4,4
Acanthodactylus_yemenicus,14.66,no,55.5,NA,Diurnal,NA,NA
Acanthosaura_armata,5.31,no,140,123,Diurnal,8,21
Acanthosaura_bintangensis,4.86,no,142,142,Diurnal,NA,NA
Acanthosaura_brachypoda,22.21,no,117,117,Diurnal,NA,NA
Acanthosaura_capra,11.95,no,140,125.9,Diurnal,19,20
Acanthosaura_cardamomensis,11.9,no,149.4,124.9,Cathemeral,18,23
Acanthosaura_coronata,12.22,no,90,90,Diurnal,NA,NA
Acanthosaura_crucigera,15.13,no,155,136.5,Diurnal,8,20
Acanthosaura_lepidogaster,20.2,no,111,90.4,Diurnal,5,22
Acanthosaura_nataliae,15.04,no,158,136.1,Diurnal,10,16
Acanthosaura_phuketensis,8.25,no,123.5,110.1,Diurnal,NA,NA
Acanthosaura_titiwangsaensis,3.92,no,150.1,131.4,Diurnal,NA,NA
Acontias_aurantiacus,-24.68,no,213,155,NA,NA,NA
Acontias_bicolor,-18.43,no,207,NA,NA,NA,NA
Acontias_breviceps,-28.82,no,199,NA,NA,2,3
Acontias_cregoi,-23.36,no,160,NA,NA,NA,NA
Acontias_gariepensis,-26.61,no,140,121.5,Nocturnal,1,1
Acontias_gracilicauda,-29.08,no,260,178.9,NA,2,2
Acontias_jappi,-14.9,no,188,NA,NA,4,4
Acontias_kgalagadi,-23.3,no,185,133.5,Nocturnal,1,3
Acontias_lineatus,-29.47,no,150,141.7,NA,1,3
Acontias_litoralis,-30.45,no,125.9,106.9,NA,1,2
Acontias_meleagris,-33.26,no,295,162.4,Cathemeral,2,4
Acontias_namaquensis,-29.52,no,201.5,NA,NA,2,3
Acontias_occidentalis,-21.86,no,230,NA,NA,NA,NA
Acontias_orientalis,-33.34,no,206,182,NA,NA,NA
Acontias_percivali,-3.72,no,257,190.5,NA,1,3
Acontias_plumbeus,-24.62,no,500,348.8,Cathemeral,2,14
Acontias_poecilus,-30.83,no,382,NA,NA,NA,NA
Acontias_richardi,-23.01,no,133.5,NA,NA,2,2
Acontias_rieppeli,-23.63,no,185,169.5,NA,2,2
Acontias_schmitzi,-15.95,no,175.5,NA,NA,NA,NA
Acontias_tristis,-29.55,no,140,NA,NA,NA,NA
Acratosaura_mentalis,-12.34,no,59,52.5,Diurnal,1,2
Acratosaura_spinosa,-13.12,no,53,53,NA,NA,NA
Adercosaurus_vixadnexus,5.77,no,55,NA,NA,NA,NA
Adolfus_africanus,-0.71,no,67,58.7,Diurnal,NA,NA
Adolfus_alleni,0.42,no,70,NA,Diurnal,2,2
Adolfus_jacksoni,-0.47,no,90,68.6,Diurnal,2,5
Adolfus_masavaensis,0.8,no,55.5,51.8,Diurnal,NA,NA
Aeluroscalabotes_felinus,2.79,no,122,109.9,Nocturnal,1,2
Afroedura_africana,-24.25,no,64,56,Diurnal,2,2
Afroedura_amatolica,-32.72,no,60,NA,NA,2,2
